Quote_Id,Quote_Date,Quote_Flag,Field_Info1,Field_Info2,Field_Info3,Field_Info4,Coverage_Info1,Coverage_Info2,Coverage_Info3,Sales_Info1,Sales_Info2,Sales_Info3,Sales_Info4,Sales_Info5,Personal_Info1,Personal_Info2,Personal_Info3,Personal_Info4,Personal_Info5,Property_Info1,Property_Info2,Property_Info3,Property_Info4,Property_Info5,Geographic_Info1,Geographic_Info2,Geographic_Info3,Geographic_Info4,Geographic_Info5
638,19/12/2014,0,J,0.887,"1,113",N,10,22,F,1,5,11,K,9208,N,22,XO,0,,N,0,S,1,9,18,4,-1,N,TX
919,18/11/2014,0,F,1.0006,548,N,9,22,E,1,3,20,P,32686,N,5,XS,0,,N,0,R,1,15,4,17,-1,N,NJ
951,20/01/2013,0,F,0.9223,564,N,8,22,E,1,5,23,M,42093,N,7,XR,0,,N,0,N,1,19,4,22,-1,N,NJ
1052,5/03/2015,1,B,0.9153,935,N,5,22,E,1,2,20,V,14939,N,6,ZA,0,2,N,0,O,1,6,2,10,-1,N,CA
1112,31/07/2013,0,J,0.9691,"1,165",N,7,25,G,1,4,22,T,62087,N,6,XW,0,,N,0,J,1,6,14,7,-1,N,TX
1141,2/05/2013,1,F,0.9313,564,N,7,22,E,1,3,15,Q,15827,N,4,ZK,0,2,N,0,N,1,17,4,22,-1,N,NJ
1249,30/06/2014,0,F,1.0006,548,N,11,22,E,0,3,20,K,15321,N,5,ZT,0,2,Y,0,R,1,18,4,18,-1,N,NJ
1277,31/01/2013,0,F,0.9223,564,N,5,22,E,0,5,23,Q,6535,N,7,XX,0,,N,0,R,1,12,4,17,-1,N,NJ
1542,4/02/2014,1,F,0.9685,548,N,11,22,E,0,3,20,P,56834,N,9,XB,0,1,Y,0,R,1,23,4,21,-1,N,NJ
1552,11/10/2013,0,B,0.9403,965,N,4,22,D,0,5,24,V,44304,N,16,ZA,0,2,N,0,O,0,4,2,4,-1,N,CA
2101,16/06/2013,0,B,0.9403,965,N,17,22,E,1,3,17,M,47047,N,21,ZA,0,2,N,0,A,1,10,2,11,-1,N,CA
2500,20/07/2013,0,B,0.9403,965,N,9,22,D,1,5,17,R,22037,N,5,ZA,0,2,N,0,O,0,23,1,15,-1,N,CA
2568,11/03/2013,0,F,0.8945,564,N,25,22,E,1,5,23,K,20982,N,16,XJ,0,,N,0,R,1,23,4,22,-1,N,NJ
2625,16/01/2013,0,B,0.9219,965,N,7,22,J,1,5,23,T,26247,N,-1,ZA,0,2,N,0,D,0,7,2,12,-1,N,CA
2663,19/06/2014,1,F,1.0006,548,N,10,22,E,1,3,20,V,44141,N,5,ZT,0,,N,0,R,1,17,5,22,-1,N,NJ
2712,12/05/2014,0,B,0.9153,935,N,2,22,E,0,3,20,K,52176,N,5,ZA,0,2,N,0,R,0,17,2,8,-1,N,CA
2794,24/07/2013,0,B,0.9403,965,N,3,2,D,0,5,1,T,29657,N,-1,ZA,0,2,N,0,O,0,6,2,4,-1,N,CA
